rank,parent_name,headquarters,hqAddress,switchboardPhone,contactDomain,targetDepartment,keyContactRole,key_executive,segment,callingRegion,tradeLane,primary_bunkering_hubs,vessels_in_scope,strategy_tier,vlsfo_tonnes,mgo_tonnes,lng_tonnes,total_energy_mwh,actual_ghgie,compliance_balance_2025_tco2e,penalty_2025_y1_eur,penalty_2025_y2_eur,compliance_balance_2030_tco2e,penalty_2030_y1_eur,bio_lng_required_neg100_t,bio_lng_required_neg100_mwh,bio_lng_required_zero_t,client_savings_physical_eur,desk_margin_physical_eur,client_savings_pooling_eur,desk_margin_pooling_eur,outreachPitch,fleetCapability,lng_vessels_in_scope,conventional_vessels_in_scope,ets_exposure_2025_tco2,ets_exposure_2025_eur,ets_exposure_2026_eur,combined_regulatory_exposure_2025_eur
1705,"Naval Holdings","Copenhagen, Denmark","Tuborg Havnevej 18, 2900 Hellerup, Denmark","+45 39 775 1515","navalholdings.com","Commercial Operations & Compliance Group","Technical Fleet Director","Andreas Møller (Managing Director / Technical Superintendent)","Chemical Tanker",BALTIC_NORDIC,BALTIC_NORDIC_ROPAX,"Copenhagen, Aarhus, Gothenburg, Fredericia",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2536,302,0,32464,91.16,-213.1,136838,150522,-639.2,410450,22.9,313,48.6,116493,4695,37746.5,6393,"With 1 vessels generating an annual FuelEU penalty exposure of €0.14M, Naval Holdings can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,6205.7,434399,620571,571237
1706,"Cape & Star Trading & Shipping","Limassol, Cyprus","Omonoias Avenue 140, 3045 Limassol, Cyprus","+357 25 928 7978","capeandstartrad.com","Bunkering, Chartering & Decarbonization Division","Managing Director & Head of Fleet","Chen Smith (Managing Director / Technical Superintendent)","Crude & Product Tanker",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Limassol, Piraeus, Port Said, Augusta",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2687,157,0,32464,91.16,-213.1,136838,150522,-639.2,410450,22.9,313,48.6,116493,4695,37746.5,6393,"With 1 vessels generating an annual FuelEU penalty exposure of €0.14M, Cape & Star Trading & Shipping can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,6209.5,434665,620949,571503
1707,"United & Vanguard Shipping","Limassol, Cyprus","Omonoias Avenue 140, 3045 Limassol, Cyprus","+357 25 878 1662","unitedandvangua.com","Commercial Operations & Compliance Group","Manager of Fuel Compliance & ESG","Henrik Wang (Managing Director / Technical Superintendent)","Chemical Tanker",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Limassol, Piraeus, Port Said, Augusta",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2638,204,0,32464,91.16,-213.1,136838,150522,-639.2,410450,22.9,313,48.6,116493,4695,37746.5,6393,"With 1 vessels generating an annual FuelEU penalty exposure of €0.14M, United & Vanguard Shipping can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,6208.2,434574,620816,571412
1708,"Central & Hanseatic Tankers","Hamburg, Germany","Am Sandtorkai 77, 20457 Hamburg, Germany","+49 40 245 4982","centralandhanse.com","Bunkering, Chartering & Decarbonization Division","Technical Fleet Director","Giovanni de Jong (Managing Director / Technical Superintendent)","General Cargo / Multi-Purpose",BALTIC_NORDIC,INTRA_EU_FEEDER,"Hamburg, Bremerhaven, Wilhelmshaven, Kiel",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2492,337,0,32378,91.16,-212.5,136453,150098,-637.5,409358,22.9,312,48.4,116173,4680,37640.5,6375,"With 1 vessels generating an annual FuelEU penalty exposure of €0.14M, Central & Hanseatic Tankers can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,6188.3,433181,618835,569634
1709,"Island Lines","Oslo / Bergen, Norway","Conrad Mohrs veg 29, 5072 Bergen, Norway","+47 55 192 6067","islandlines.com","Commercial Operations & Compliance Group","VP Commercial Marine Operations","Dirk Economou (Managing Director / Technical Superintendent)","Passenger / Ro-Pax Ferry",BALTIC_NORDIC,TRANSATLANTIC,"Gothenburg, Rotterdam, Antwerp, Bergen",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2332,489,0,32359,91.16,-212.4,136388,150027,-637.2,409165,22.8,312,48.4,116108,4680,37622,6372,"With 1 vessels generating an annual FuelEU penalty exposure of €0.14M, Island Lines can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,6180.7,432649,618072,569037
1710,"Great & Imperial Chartering","Rotterdam, Netherlands","Willemswerf 200, 3016 DR Rotterdam, Netherlands","+31 10 760 8209","greatandimperia.com","Marine Fuel Procurement & Energy Transition Desk","Managing Director & Head of Fleet","Marco Smith (Managing Director / Technical Superintendent)","Ro-Ro & Car Carrier",ARA_HUB,INTRA_EU_FEEDER,"Rotterdam, Antwerp, Amsterdam, Flushing",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2665,163,0,32285,91.16,-211.9,136067,149674,-635.7,408202,22.8,311,48.3,115852,4665,37533.5,6357,"With 1 vessels generating an annual FuelEU penalty exposure of €0.14M, Great & Imperial Chartering can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,6175,432250,617498,568317
1711,"Island & Delta Chartering","Hamburg, Germany","Teerhof 59, 28199 Bremen, Germany","+49 40 120 8364","islandanddeltac.com","Bunkering, Chartering & Decarbonization Division","Director of Bunkering & Decarbonization","David Smith (Managing Director / Technical Superintendent)","Crude & Product Tanker",BALTIC_NORDIC,INTRA_EU_FEEDER,"Hamburg, Bremerhaven, Wilhelmshaven, Kiel",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2424,377,0,32078,91.16,-210.5,135168,148685,-631.6,405569,22.6,309,48,115083,4635,37285.5,6315,"With 1 vessels generating an annual FuelEU penalty exposure of €0.14M, Island & Delta Chartering can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,6129.9,429093,612990,564261
1712,"Royal & Royal Fleet Management","Hamburg, Germany","Willy-Brandt-Strasse 57, 20457 Hamburg, Germany","+49 40 690 2802","royalandroyalfl.com","Green Transition & Marine Fuels Desk","Technical Fleet Director","David Møller (Managing Director / Technical Superintendent)","General Cargo / Multi-Purpose",BALTIC_NORDIC,INTRA_EU_FEEDER,"Hamburg, Bremerhaven, Wilhelmshaven, Kiel",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2410,381,0,31966,91.16,-209.8,134719,148191,-629.4,404157,22.6,308,47.8,114699,4620,37162,6294,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Royal & Royal Fleet Management can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,6108.3,427581,610834,562300
1713,"Vanguard & Zephyr Holdings","Genoa / Naples, Italy","Via Fieschi 8, 16121 Genoa, Italy","+39 010 396 3513","vanguardandzeph.com","Fleet Operations & Statutory Emissions Management","VP Commercial Marine Operations","Dimitrios Hansen (Managing Director / Technical Superintendent)","Dry Bulk Carrier",WEST_MED,INTRA_EU_FEEDER,"Genoa, Naples, Trieste, Livorno, Augusta",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2488,297,0,31858,91.16,-209.1,134269,147696,-627.3,402808,22.5,307,47.7,114314,4605,37037.5,6273,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Vanguard & Zephyr Holdings can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,6089.9,426293,608986,560562
1714,"Cape Transport","Oslo / Bergen, Norway","Conrad Mohrs veg 29, 5072 Bergen, Norway","+47 55 613 5465","capetransport.com","Commercial Operations & Compliance Group","Managing Director & Head of Fleet","Matteo Taylor (Managing Director / Technical Superintendent)","Crude & Product Tanker",BALTIC_NORDIC,TRANSATLANTIC,"Gothenburg, Rotterdam, Antwerp, Bergen",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2341,426,0,31714,91.16,-208.2,133691,147060,-624.5,401010,22.4,305,47.5,113866,4575,36878,6246,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Cape Transport can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,6058.9,424123,605892,557814
1715,"United & Baltic Shipmanagement","Rotterdam, Netherlands","Westerkade 7, 3016 CL Rotterdam, Netherlands","+31 10 343 8270","unitedandbaltic.com","Bunkering, Chartering & Decarbonization Division","Technical Fleet Director","Lars Economou (Managing Director / Technical Superintendent)","Dry Bulk Carrier",ARA_HUB,INTRA_EU_FEEDER,"Rotterdam, Antwerp, Amsterdam, Flushing",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2421,342,0,31629,91.16,-207.6,133306,146637,-622.8,399919,22.3,305,47.3,113481,4575,36772,6228,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, United & Baltic Shipmanagement can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,6044.8,423136,604478,556442
1716,"Mediterranean & Polar Tankers","Copenhagen, Denmark","Amerika Plads 38, 2100 Copenhagen, Denmark","+45 39 846 3955","mediterraneanan.com","Marine Fuel Procurement & Energy Transition Desk","Technical Fleet Director","Kenji Smith (Managing Director / Technical Superintendent)","Dry Bulk Carrier",BALTIC_NORDIC,BALTIC_NORDIC_ROPAX,"Copenhagen, Aarhus, Gothenburg, Fredericia",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2521,246,0,31629,91.16,-207.6,133306,146637,-622.8,399919,22.3,305,47.3,113481,4575,36772,6228,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Mediterranean & Polar Tankers can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,6047.4,423318,604737,556624
1717,"Delta & Universal Services","London, United Kingdom","Leadenhall Street 100, London EC3A 3BP, United Kingdom","+44 20 921 6623","deltaandunivers.com","Fleet Operations & Statutory Emissions Management","Managing Director & Head of Fleet","Dirk Economou (Managing Director / Technical Superintendent)","Dry Bulk Carrier",UK_CONTINENT,TRANSATLANTIC,"Felixstowe, Southampton, London Gateway, Liverpool",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2536,229,0,31598,91.16,-207.4,133178,146496,-622.2,399533,22.3,304,47.3,113418,4560,36737,6222,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Delta & Universal Services can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,6041.9,422933,604191,556111
1718,"Silver Services","Oslo / Bergen, Norway","Conrad Mohrs veg 29, 5072 Bergen, Norway","+47 55 199 1645","silverservices.com","Fleet Operations & Statutory Emissions Management","VP Commercial Marine Operations","Stavros Dupont (Managing Director / Technical Superintendent)","Chemical Tanker",BALTIC_NORDIC,TRANSATLANTIC,"Gothenburg, Rotterdam, Antwerp, Bergen",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2264,489,0,31585,91.16,-207.3,133114,146425,-621.9,399341,22.3,304,47.3,113354,4560,36719.5,6219,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Silver Services can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,6032.5,422275,603246,555389
1719,"Polar & Vanguard Carriers","Rotterdam, Netherlands","Willemswerf 200, 3016 DR Rotterdam, Netherlands","+31 10 581 2354","polarandvanguar.com","Green Transition & Marine Fuels Desk","VP Commercial Marine Operations","Kenji Moretti (Managing Director / Technical Superintendent)","Container Feeder / Short Sea",ARA_HUB,INTRA_EU_FEEDER,"Rotterdam, Antwerp, Amsterdam, Flushing",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2604,152,0,31460,91.16,-206.5,132600,145860,-619.5,397800,22.2,303,47.1,112905,4545,36577.5,6195,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Polar & Vanguard Carriers can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,6017.3,421211,601734,553811
1720,"Sea Bulkers","Hamburg, Germany","Palmaille 67, 22767 Hamburg, Germany","+49 40 160 6329","seabulkers.com","Marine Fuel Procurement & Energy Transition Desk","Senior Fuel Trader & Offtake Manager","Giovanni Møller (Managing Director / Technical Superintendent)","Dry Bulk Carrier",BALTIC_NORDIC,INTRA_EU_FEEDER,"Hamburg, Bremerhaven, Wilhelmshaven, Kiel",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2431,307,0,31328,91.16,-205.6,132022,145224,-616.9,396130,22.1,302,46.9,112392,4530,36418,6168,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Sea Bulkers can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,5988.1,419167,598808,551189
1721,"Maritime Chartering","Istanbul, Turkey","Altunizade Mah. Kisikli Cad. 12, 34662 Uskudar/Istanbul, Turkey","+90 216 616 6529","maritimecharter.com","Bunkering, Chartering & Decarbonization Division","Manager of Fuel Compliance & ESG","Chen Ferrari (Managing Director / Technical Superintendent)","General Cargo / Multi-Purpose",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Piraeus, Ambarli, Tuzla, Augusta, Trieste",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2483,242,0,31149,91.16,-204.4,131251,144376,-613.3,393818,22,300,46.6,111751,4500,36205,6132,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Maritime Chartering can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,5955.5,416885,595553,548136
1722,"Olympia Carriers","Limassol, Cyprus","Spyrou Kyprianou 84, 4043 Limassol, Cyprus","+357 25 720 4783","olympiacarriers.com","Bunkering, Chartering & Decarbonization Division","Senior Fuel Trader & Offtake Manager","Aris Fischer (Managing Director / Technical Superintendent)","Dry Bulk Carrier",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Limassol, Piraeus, Port Said, Augusta",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2556,163,0,31043,91.16,-203.8,130866,143953,-611.3,392534,21.9,299,46.5,111431,4485,36099,6114,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Olympia Carriers can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,5937.4,415618,593740,546484
1723,"Coastal & Ocean Tankers","Oslo / Bergen, Norway","Conrad Mohrs veg 29, 5072 Bergen, Norway","+47 55 146 5658","coastalandocean.com","Green Transition & Marine Fuels Desk","Technical Fleet Director","Torsten Mavros (Managing Director / Technical Superintendent)","General Cargo / Multi-Purpose",BALTIC_NORDIC,TRANSATLANTIC,"Gothenburg, Rotterdam, Antwerp, Bergen",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2549,158,0,30904,91.16,-202.8,130224,143246,-608.5,390736,21.8,298,46.2,110854,4470,35922,6084,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Coastal & Ocean Tankers can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,5910.9,413763,591087,543987
1724,"Liberty Maritime","Oslo / Bergen, Norway","Kirkegata 24, 0153 Oslo, Norway","+47 55 482 7481","libertymaritime.com","Marine Fuel Procurement & Energy Transition Desk","Technical Fleet Director","Matteo Mavros (Managing Director / Technical Superintendent)","Dry Bulk Carrier",BALTIC_NORDIC,TRANSATLANTIC,"Gothenburg, Rotterdam, Antwerp, Bergen",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2254,419,0,30640,91.16,-201.1,129132,142045,-603.3,387397,21.6,295,45.8,109957,4425,35620.5,6033,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Liberty Maritime can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,5853.6,409752,585361,538884
1725,"Ocean & Royal Chartering","Istanbul, Turkey","Postane Mahallesi, Rauf Orbay Caddesi 34, 34940 Tuzla/Istanbul, Turkey","+90 216 369 2423","oceanandroyalch.com","Commercial Operations & Compliance Group","Senior Fuel Trader & Offtake Manager","Giovanni Smith (Managing Director / Technical Superintendent)","Dry Bulk Carrier",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Piraeus, Ambarli, Tuzla, Augusta, Trieste",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2291,377,0,30564,91.16,-200.6,128811,141692,-601.8,386434,21.6,294,45.7,109701,4410,35532,6018,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Ocean & Royal Chartering can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,5840,408800,583996,537611
1726,"Central & Star Shipping","Oslo / Bergen, Norway","Kirkegata 24, 0153 Oslo, Norway","+47 55 434 5937","centralandstars.com","Commercial Operations & Compliance Group","Director of Bunkering & Decarbonization","Nikos Smith (Managing Director / Technical Superintendent)","Crude & Product Tanker",BALTIC_NORDIC,TRANSATLANTIC,"Gothenburg, Rotterdam, Antwerp, Bergen",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2271,395,0,30549,91.16,-200.5,128747,141622,-601.5,386241,21.6,294,45.7,109637,4410,35514.5,6015,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Central & Star Shipping can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,5836.8,408576,583681,537323
1727,"Global Carriers","Genoa / Naples, Italy","Via Cristoforo Colombo 44, 80133 Naples, Italy","+39 010 145 1058","globalcarriers.com","Bunkering, Chartering & Decarbonization Division","Senior Fuel Trader & Offtake Manager","Giovanni Fischer (Managing Director / Technical Superintendent)","Crude & Product Tanker",WEST_MED,INTRA_EU_FEEDER,"Genoa, Naples, Trieste, Livorno, Augusta",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2178,474,0,30427,91.16,-199.7,128233,141056,-599.1,384700,21.5,293,45.5,109188,4395,35372.5,5991,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Global Carriers can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,5811.3,406791,581133,535024
1728,"Polar & Pacific Shipping","Hamburg, Germany","Palmaille 67, 22767 Hamburg, Germany","+49 40 977 3158","polarandpacific.com","Commercial Operations & Compliance Group","Director of Bunkering & Decarbonization","Torsten van Dijk (Managing Director / Technical Superintendent)","Dry Bulk Carrier",BALTIC_NORDIC,INTRA_EU_FEEDER,"Hamburg, Bremerhaven, Wilhelmshaven, Kiel",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2392,265,0,30385,91.16,-199.4,128041,140845,-598.3,384186,21.4,293,45.5,108996,4395,35320,5982,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Polar & Pacific Shipping can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,5808.8,406616,580881,534657
1729,"United & Cosmos Bulkers","Athens / Piraeus, Greece","Syngrou Avenue 340, 17674 Kallithea, Greece","+30 210 227 9671","unitedandcosmos.com","Marine Fuel Procurement & Energy Transition Desk","Technical Fleet Director","Klaus Taylor (Managing Director / Technical Superintendent)","Dry Bulk Carrier",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Piraeus, Augusta, Trieste, Genoa",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2301,350,0,30357,91.16,-199.3,127977,140775,-597.8,383865,21.4,292,45.4,108997,4380,35302.5,5979,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, United & Cosmos Bulkers can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,5801.2,406084,580118,534061
1730,"Polar & Star Services","Hamburg, Germany","Vorsetzen 54, 20459 Hamburg, Germany","+49 40 834 7616","polarandstarser.com","Green Transition & Marine Fuels Desk","Head of Marine Fuel Procurement","Georgios Hansen (Managing Director / Technical Superintendent)","Dry Bulk Carrier",BALTIC_NORDIC,INTRA_EU_FEEDER,"Hamburg, Bremerhaven, Wilhelmshaven, Kiel",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2384,265,0,30294,91.16,-198.8,127655,140420,-596.5,383031,21.4,292,45.3,108675,4380,35213,5964,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Polar & Star Services can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,5791.4,405398,579138,533053
1731,"North & Prime Navigation","Oslo / Bergen, Norway","Kirkegata 24, 0153 Oslo, Norway","+47 55 896 5308","northandprimena.com","Bunkering, Chartering & Decarbonization Division","Technical Fleet Director","Lars Weber (Managing Director / Technical Superintendent)","General Cargo / Multi-Purpose",BALTIC_NORDIC,TRANSATLANTIC,"Gothenburg, Rotterdam, Antwerp, Bergen",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2235,404,0,30246,91.16,-198.5,127463,140209,-595.6,382453,21.4,291,45.3,108548,4365,35160.5,5955,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, North & Prime Navigation can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,5778.5,404495,577850,531958
1732,"Vector & Cape Carriers","Rotterdam, Netherlands","Rijnhaven Zuidzijde 42, 3072 AZ Rotterdam, Netherlands","+31 10 725 9648","vectorandcapeca.com","Marine Fuel Procurement & Energy Transition Desk","Managing Director & Head of Fleet","Nikos van Dijk (Managing Director / Technical Superintendent)","General Cargo / Multi-Purpose",ARA_HUB,INTRA_EU_FEEDER,"Rotterdam, Antwerp, Amsterdam, Flushing",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2285,355,0,30234,91.16,-198.4,127399,140139,-595.3,382260,21.3,291,45.2,108484,4365,35143,5952,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Vector & Cape Carriers can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,5777.5,404425,577752,531824
1733,"Inter Holdings","London, United Kingdom","Leadenhall Street 100, London EC3A 3BP, United Kingdom","+44 20 474 2479","interholdings.com","Marine Fuel Procurement & Energy Transition Desk","Technical Fleet Director","Marco Wang (Managing Director / Technical Superintendent)","General Cargo / Multi-Purpose",UK_CONTINENT,TRANSATLANTIC,"Felixstowe, Southampton, London Gateway, Liverpool",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2376,265,0,30203,91.16,-198.2,127270,139997,-594.7,381875,21.3,291,45.2,108355,4365,35107,5946,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Inter Holdings can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.04M in client savings.",CONVENTIONAL_ONLY,0,1,5773.9,404173,577395,531443
1734,"Golden & Eagle Lines","Limassol, Cyprus","Spyrou Kyprianou 84, 4043 Limassol, Cyprus","+357 25 308 1544","goldenandeaglel.com","Marine Fuel Procurement & Energy Transition Desk","Technical Fleet Director","Andreas Hansen (Managing Director / Technical Superintendent)","Crude & Product Tanker",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Limassol, Piraeus, Port Said, Augusta",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2152,448,0,29823,91.16,-195.7,125665,138232,-587.2,377059,21.1,287,44.6,107010,4305,34664.5,5871,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Golden & Eagle Lines can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.03M in client savings.",CONVENTIONAL_ONLY,0,1,5696.3,398741,569632,524406
1735,"Pacific & Delta Tankers","Rotterdam, Netherlands","Westerkade 7, 3016 CL Rotterdam, Netherlands","+31 10 252 2203","pacificanddelta.com","Commercial Operations & Compliance Group","Senior Fuel Trader & Offtake Manager","Philippe Nielsen (Managing Director / Technical Superintendent)","Dry Bulk Carrier",ARA_HUB,INTRA_EU_FEEDER,"Rotterdam, Antwerp, Amsterdam, Flushing",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2404,205,0,29810,91.16,-195.7,125665,138232,-587,376930,21.1,287,44.6,107010,4305,34664.5,5871,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Pacific & Delta Tankers can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.03M in client savings.",CONVENTIONAL_ONLY,0,1,5700.3,399021,570031,524686
1736,"Coastal Lines","Genoa / Naples, Italy","Via Cristoforo Colombo 44, 80133 Naples, Italy","+39 010 304 2506","coastallines.com","Green Transition & Marine Fuels Desk","Senior Fuel Trader & Offtake Manager","Klaus Smith (Managing Director / Technical Superintendent)","Dry Bulk Carrier",WEST_MED,INTRA_EU_FEEDER,"Genoa, Naples, Trieste, Livorno, Augusta",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2318,287,0,29804,91.16,-195.6,125601,138161,-586.8,376802,21,287,44.6,106946,4305,34647,5868,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Coastal Lines can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.03M in client savings.",CONVENTIONAL_ONLY,0,1,5696.9,398783,569688,524384
1737,"Zephyr & Liberty Transport","Copenhagen, Denmark","Søndre Havnegade 34, 6000 Kolding, Denmark","+45 39 744 7404","zephyrandlibert.com","Bunkering, Chartering & Decarbonization Division","VP Commercial Marine Operations","Dirk Tanaka (Managing Director / Technical Superintendent)","Chemical Tanker",BALTIC_NORDIC,BALTIC_NORDIC_ROPAX,"Copenhagen, Aarhus, Gothenburg, Fredericia",1,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",2369,228,0,29685,91.16,-194.8,125087,137596,-584.5,375325,21,286,44.4,106497,4290,34505,5844,"With 1 vessels generating an annual FuelEU penalty exposure of €0.13M, Zephyr & Liberty Transport can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.03M in client savings.",CONVENTIONAL_ONLY,0,1,5675.6,397292,567560,522379
